127.0.0.1 - - [02/Feb/2022:14:40:53 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:03 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:03 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:25 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:29 -0300] "GET /gerenciador/novaEmpresa.html HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:32 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:44 -0300] "GET /gerenciador/ HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:48 -0300] "GET /gerenciador/oi HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:41:57 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:42:16 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:42:17 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:42:30 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:42:36 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:42:37 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:43:35 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:21 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:22 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:22 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:22 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:23 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:23 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:23 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:25 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:30 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:41 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:44 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:53 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:58 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:45:59 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:46:03 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:14:46:05 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [02/Feb/2022:15:12:25 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [02/Feb/2022:15:12:31 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:15:12:35 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [02/Feb/2022:15:12:38 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [02/Feb/2022:15:36:23 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 82
